Country;Region;Site;coral_cover;geometry;historical_1995_2014_ensemble;ssp119_2021_2040_ensemble;ssp126_2021_2040_ensemble;ssp245_2021_2040_ensemble;ssp370_2021_2040_ensemble;ssp585_2021_2040_ensemble;ssp119_2041_2060_ensemble;ssp126_2041_2060_ensemble;ssp245_2041_2060_ensemble;ssp370_2041_2060_ensemble;ssp585_2041_2060_ensemble;ssp119_2081_2100_ensemble;ssp126_2081_2100_ensemble;ssp245_2081_2100_ensemble;ssp370_2081_2100_ensemble;ssp585_2081_2100_ensemble
FLORIDA KEYS;Mid-Upper Keys Transition;1059;11;c(279.38221, 24.90323);8.060904922087987;8.02520993600289;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.018635726471741;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.042207950353623;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1113;2;c(279.39717, 24.86896);8.060904922087987;8.02520993600289;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.018635726471741;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.042207950353623;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1155;0;c(279.43107, 24.90123);8.060904922087987;8.02520993600289;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.018635726471741;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.042207950353623;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1244;4;c(279.55085, 24.95724);8.060904922087987;8.021740065515042;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.015070923169453;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.038579772909483;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1247;10;c(279.44804, 24.94656);8.060904922087987;8.02520993600289;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.018635726471741;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.042207950353623;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1256;10;c(279.45247, 24.93758);8.060904922087987;8.02520993600289;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.018635726471741;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.042207950353623;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1257;34;c(279.3829, 24.90062);8.060904922087987;8.02520993600289;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.018635726471741;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.042207950353623;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1265;4;c(279.52719, 24.9466);8.060904922087987;8.021740065515042;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.015070923169453;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.038579772909483;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1282;9;c(279.49418, 24.92227);8.060904922087987;8.02520993600289;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.018635726471741;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.042207950353623;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1284;4;c(279.38228, 24.84862);8.060904922087987;8.02520993600289;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.018635726471741;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.042207950353623;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1294;0;c(279.39893, 24.86167);8.060904922087987;8.02520993600289;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.018635726471741;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.042207950353623;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1295;7;c(279.44617, 24.89379);8.060904922087987;8.02520993600289;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.018635726471741;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.042207950353623;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1296;1;c(279.43328, 24.89871);8.060904922087987;8.02520993600289;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.018635726471741;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.042207950353623;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1297;6;c(279.51453, 24.9363);8.060904922087987;8.021740065515042;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.015070923169453;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.038579772909483;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1298;4;c(279.51067, 24.93924);8.060904922087987;8.021740065515042;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.015070923169453;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.038579772909483;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1299;4;c(279.54091, 24.95293);8.060904922087987;8.021740065515042;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.015070923169453;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.038579772909483;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1312;1;c(279.46996, 24.908);8.060904922087987;8.02520993600289;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.018635726471741;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.042207950353623;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1326;2;c(279.54201, 24.95487);8.060904922087987;8.021740065515042;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.015070923169453;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.038579772909483;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1328;10;c(279.54984, 24.95182);8.060904922087987;8.021740065515042;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.015070923169453;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.038579772909483;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1329;10;c(279.49553, 24.9204);8.060904922087987;8.02520993600289;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.018635726471741;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.042207950353623;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1330;8;c(279.49809, 24.92346);8.060904922087987;8.02520993600289;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.018635726471741;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.042207950353623;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1343;12;c(279.36742, 24.8357);8.060904922087987;8.02520993600289;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.018635726471741;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.042207950353623;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1345;3;c(279.47823, 24.9096);8.060904922087987;8.02520993600289;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.018635726471741;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.042207950353623;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1346;9;c(279.49348, 24.91022);8.060904922087987;8.02520993600289;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.018635726471741;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.042207950353623;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1348;2;c(279.43813, 24.88607);8.060904922087987;8.02520993600289;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.018635726471741;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.042207950353623;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1348;9;c(279.54518, 24.9471);8.060904922087987;8.021740065515042;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.015070923169453;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.038579772909483;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Mid-Upper Keys Transition;1387;9;c(279.4621, 24.8972);8.060904922087987;8.02520993600289;8.01097839474678;8.006359001000723;8.003738699356715;8.00201317469279;8.018635726471741;7.987629403670629;7.95973254442215;7.93871161142985;7.926328438520431;8.042207950353623;7.991459619998932;7.900688282648722;7.8027307709058125;7.718188418944677
FLORIDA KEYS;Middle Keys;1050;22;c(279.07338, 24.72065);8.062358629703521;8.02520993600289;8.012280583381653;8.007380433877309;8.004805133740108;8.003133179744085;8.018635726471741;7.98886022567749;7.960660103956858;7.939487725496292;7.927153996626536;8.042207950353623;7.992641979455948;7.901461579402288;7.803116450707118;7.718257663647334
FLORIDA KEYS;Middle Keys;1053;22;c(278.96683, 24.68983);8.062358629703521;8.02520993600289;8.012280583381653;8.007380433877309;8.004805133740108;8.003133179744085;8.018635726471741;7.98886022567749;7.960660103956858;7.939487725496292;7.927153996626536;8.042207950353623;7.992641979455948;7.901461579402288;7.803116450707118;7.718257663647334
FLORIDA KEYS;Middle Keys;1154;1;c(279.02811, 24.68293);8.062358629703521;8.02520993600289;8.012280583381653;8.007380433877309;8.004805133740108;8.003133179744085;8.018635726471741;7.98886022567749;7.960660103956858;7.939487725496292;7.927153996626536;8.042207950353623;7.992641979455948;7.901461579402288;7.803116450707118;7.718257663647334
FLORIDA KEYS;Middle Keys;1236;11;c(278.68904, 24.57032);8.063748375574749;8.02520993600289;8.013446327050527;8.00835404197375;8.005794854958852;8.004139751195908;8.018635726471741;7.990086068709691;7.961449897289276;7.940181702375412;7.927861666679382;8.042207950353623;7.993899460633596;7.902249719699224;7.8033024072647095;7.7181698977947235
FLORIDA KEYS;Middle Keys;1250;4;c(278.8577, 24.65144);8.062358629703521;8.02520993600289;8.012280583381653;8.007380433877309;8.004805133740108;8.003133179744085;8.018635726471741;7.98886022567749;7.960660103956858;7.939487725496292;7.927153996626536;8.042207950353623;7.992641979455948;7.901461579402288;7.803116450707118;7.718257663647334
